entity1,entity2,trigger_word,relation_type,sentences
acinetobacterbaumannii baumannii,pediatric,produce,Product-Producer,"carbapenem resistant acinetobacter baumannii and enterobacterales are identified as urgent threats , and multidrug resistant mdr pseudomonas aeruginosa and extended spectrum beta lactamase esbl producing pathogens are identified as serious threats by the centers for disease control and prevention cdc . "
pseudomonasaeruginosa aeruginosa,pediatric,produce,Product-Producer,"carbapenem resistant acinetobacter baumannii and enterobacterales are identified as urgent threats , and multidrug resistant mdr pseudomonas aeruginosa and extended spectrum beta lactamase esbl producing pathogens are identified as serious threats by the centers for disease control and prevention cdc . "
enterobacter,efda,relate,0,"we performed whole genome sequencing for 17 enterobacter clinical strains and analyzed all available enterobacter genomes and its closely related genera n 3 , 389 from ncbi . "
enterobacter,efda,relate,0,"we performed whole genome sequencing for 17 enterobacter clinical strains and analyzed all available enterobacter genomes and its closely related genera n 3 , 389 from ncbi . "
serratiamarcescens marcescens,hiv,cause,Cause-Effect,"serratia marcescens , a member of the order enterobacterales , is adept at colonizing healthcare environments and an important cause of invasive infections . "
serratiamarcescens marcescens,invasiveinfections infections,cause,Cause-Effect,"serratia marcescens , a member of the order enterobacterales , is adept at colonizing healthcare environments and an important cause of invasive infections . "
escherichiacoli coli,ceftazidimeand andpiperacillin piperacillintazobactam tazobactam,result,Cause-Effect,"production of the kpc variants in an escherichia coli recombinant strain resulted in a concomitant increased susceptibility to broad spectrum cephalosporins and carbapenems , with the exceptions of ceftazidime and piperacillin tazobactam , compared to wild type kpc enzymes . "
eradicationof ofperiprosthetic periprostheticjoint jointinfection infectionpji pji,staphylococcusaureus aureus,cause,Cause-Effect,the rate of eradication of periprosthetic joint infection pji caused by methicillin resistant staphylococcus aureus mrsa is still not satisfactory with systemic vancomycin administration after one stage revision arthroplasty . 
ctx,kluyveraascorbata ascorbata,link,0,"the ctx m 2 subgroup is linked to kluyvera ascorbata , kluc to kluyvera cryocrescens , and ctx m 25 to kluyvera georgiana . "
ctx,kluyvera,link,0,"the ctx m 2 subgroup is linked to kluyvera ascorbata , kluc to kluyvera cryocrescens , and ctx m 25 to kluyvera georgiana . "
ctx,kluyverageorgiana georgiana,link,0,"the ctx m 2 subgroup is linked to kluyvera ascorbata , kluc to kluyvera cryocrescens , and ctx m 25 to kluyvera georgiana . "
injectisome,salmonella,relate,0,"moreover , although the injectisome and flagellar t3sss are evolutionarily and structurally related , the 4epdn cyclic peptomer did not inhibit secretion of substrates through the salmonella flagellar t3ss , indicating that cyclic peptomers broadly but specifically target the injectisome t3ss . "
t3sss,salmonella,relate,0,"moreover , although the injectisome and flagellar t3sss are evolutionarily and structurally related , the 4epdn cyclic peptomer did not inhibit secretion of substrates through the salmonella flagellar t3ss , indicating that cyclic peptomers broadly but specifically target the injectisome t3ss . "
botulism,clostridiumbotulinum botulinum,cause,Cause-Effect,"botulism is a rare , life threatening paralytic disease caused by clostridium botulinum neurotoxin bont . "
paralyticdisease disease,clostridiumbotulinum botulinum,cause,Cause-Effect,"botulism is a rare , life threatening paralytic disease caused by clostridium botulinum neurotoxin bont . "
mycobacteriumtuberculosis tuberculosis,tuberculosis,result,Cause-Effect,discordant results between genotypic drug susceptibility testing gdst and phenotypic dst pdst for mycobacterium tuberculosis isolates with disputed discordance between gdst and pdst results mutations affect rifampin rif resistant rr and multidrug resistant mdr tuberculosis tb treatments due to a lack of practical clinical guidelines . 
cysticfibrosis fibrosis,pseudomonasaeruginosa aeruginosa,cause,Cause-Effect,"antimicrobial combination therapy is a time resource intensive procedure commonly employed in the treatment of cystic fibrosis cf pulmonary exacerbations caused by pseudomonas aeruginosa ten years ago , the most promising antimicrobial combinations were proposed , but there has since been the introduction of new lactam plus lactamase inhibitor antimicrobial combinations . "
bacillusamyloliquefaciens amyloliquefaciens,alleviateoxidative oxidativestress stress,induce,Cause-Effect,"this research aimed to verify whether bacillus amyloliquefaciens sc06 can induce autophagy to alleviate oxidative stress in ipec j2 cells , as well as explore its mechanisms . "
inflammation,lactobacillus,derive,Cause-Effect,this study isolated and examined an antioxidant derived from lactobacillus fermentation products using cultured media with 1 beet powder . 
gastriccancer cancer,helicobacterpylori pylori,lead,Cause-Effect,"gastric cancer gc is one of the most common cancers , ranking as the third leading global cause of cancer related deaths , and is mainly attributed to chronic helicobacter pylori infection . "
gastriccancer cancer,helicobacterpylori pylori,cause,Cause-Effect,"gastric cancer gc is one of the most common cancers , ranking as the third leading global cause of cancer related deaths , and is mainly attributed to chronic helicobacter pylori infection . "
gastriccancer cancer,helicobacterpylori pylori,relate,0,"gastric cancer gc is one of the most common cancers , ranking as the third leading global cause of cancer related deaths , and is mainly attributed to chronic helicobacter pylori infection . "
cancers,helicobacterpylori pylori,lead,Cause-Effect,"gastric cancer gc is one of the most common cancers , ranking as the third leading global cause of cancer related deaths , and is mainly attributed to chronic helicobacter pylori infection . "
cancers,helicobacterpylori pylori,cause,Cause-Effect,"gastric cancer gc is one of the most common cancers , ranking as the third leading global cause of cancer related deaths , and is mainly attributed to chronic helicobacter pylori infection . "
cancers,helicobacterpylori pylori,relate,0,"gastric cancer gc is one of the most common cancers , ranking as the third leading global cause of cancer related deaths , and is mainly attributed to chronic helicobacter pylori infection . "
cancer,helicobacterpylori pylori,relate,0,"gastric cancer gc is one of the most common cancers , ranking as the third leading global cause of cancer related deaths , and is mainly attributed to chronic helicobacter pylori infection . "
hepaticsteatosis steatosis,allobaculum,decrease,Cause-Effect,"pxr enhanced hfd induced weight gain , hepatic steatosis and inflammation especially in males , accompanied by pxr dependent up regulation in hepatic genes involved in microbial response , inflammation , oxidative stress , and cancer pxr dependent increase in intestinal firmicutes bacteroides ratio hallmark of obesity and the pro inflammatory lactobacillus , as well as a decrease in the anti obese allobaculum and the anti inflammatory bifidobacterum , with a pxr dependent reduction of beneficial bas in liver . "
inflammation,allobaculum,decrease,Cause-Effect,"pxr enhanced hfd induced weight gain , hepatic steatosis and inflammation especially in males , accompanied by pxr dependent up regulation in hepatic genes involved in microbial response , inflammation , oxidative stress , and cancer pxr dependent increase in intestinal firmicutes bacteroides ratio hallmark of obesity and the pro inflammatory lactobacillus , as well as a decrease in the anti obese allobaculum and the anti inflammatory bifidobacterum , with a pxr dependent reduction of beneficial bas in liver . "
inflammation,allobaculum,decrease,Cause-Effect,"pxr enhanced hfd induced weight gain , hepatic steatosis and inflammation especially in males , accompanied by pxr dependent up regulation in hepatic genes involved in microbial response , inflammation , oxidative stress , and cancer pxr dependent increase in intestinal firmicutes bacteroides ratio hallmark of obesity and the pro inflammatory lactobacillus , as well as a decrease in the anti obese allobaculum and the anti inflammatory bifidobacterum , with a pxr dependent reduction of beneficial bas in liver . "
"oxidativestress stress, ,and andcancer cancerpxr pxr",allobaculum,decrease,Cause-Effect,"pxr enhanced hfd induced weight gain , hepatic steatosis and inflammation especially in males , accompanied by pxr dependent up regulation in hepatic genes involved in microbial response , inflammation , oxidative stress , and cancer pxr dependent increase in intestinal firmicutes bacteroides ratio hallmark of obesity and the pro inflammatory lactobacillus , as well as a decrease in the anti obese allobaculum and the anti inflammatory bifidobacterum , with a pxr dependent reduction of beneficial bas in liver . "
obesity,allobaculum,decrease,Cause-Effect,"pxr enhanced hfd induced weight gain , hepatic steatosis and inflammation especially in males , accompanied by pxr dependent up regulation in hepatic genes involved in microbial response , inflammation , oxidative stress , and cancer pxr dependent increase in intestinal firmicutes bacteroides ratio hallmark of obesity and the pro inflammatory lactobacillus , as well as a decrease in the anti obese allobaculum and the anti inflammatory bifidobacterum , with a pxr dependent reduction of beneficial bas in liver . "
periodontaldiseases diseases,porphyromonasgingivalis gingivalis,induce,Cause-Effect,periodontal diseases are common inflammatory diseases that are induced by infection with periodontal bacteria such as porphyromonas gingivalis pg . 
inflammatorydiseases diseases,porphyromonasgingivalis gingivalis,induce,Cause-Effect,periodontal diseases are common inflammatory diseases that are induced by infection with periodontal bacteria such as porphyromonas gingivalis pg . 
indole,ideonella,facilitate,Cause-Effect,"the incorporation of indole into hbps as well as small molecules facilitated their enzymatic degradation with petase from ideonella sakaiensis , while isatin had a complex impact . "
staphylococcusaureus aureus,keratitis,induce,Cause-Effect,"compared with the drug alone , this smart system achieved enhanced bacterial mortality and attenuated inflammation associated with staphylococcus aureus induced keratitis in rats , demonstrating a paradigm for targeted ocular drug delivery and an alternative strategy for managing bacterial keratitis or other bacterial infections by heightening corneal permeability and transcorneal bioavailability . "
copddisease disease,streptococcus,change,Cause-Effect,"next generation sequencing has revealed that copd disease progression and exacerbation frequency are associated with changes in the composition of the lung microbiome , and that the immunosuppressive effects of ics can contribute to potentially deleterious airway microbiota changes by increasing bacterial load and the abundance of potentially pathogenic taxa such as streptococcus and haemophilus . "
copddisease disease,streptococcus,contribute,Cause-Effect,"next generation sequencing has revealed that copd disease progression and exacerbation frequency are associated with changes in the composition of the lung microbiome , and that the immunosuppressive effects of ics can contribute to potentially deleterious airway microbiota changes by increasing bacterial load and the abundance of potentially pathogenic taxa such as streptococcus and haemophilus . "
copddisease disease,streptococcus,change,Cause-Effect,"next generation sequencing has revealed that copd disease progression and exacerbation frequency are associated with changes in the composition of the lung microbiome , and that the immunosuppressive effects of ics can contribute to potentially deleterious airway microbiota changes by increasing bacterial load and the abundance of potentially pathogenic taxa such as streptococcus and haemophilus . "
copddisease disease,haemophilus,change,Cause-Effect,"next generation sequencing has revealed that copd disease progression and exacerbation frequency are associated with changes in the composition of the lung microbiome , and that the immunosuppressive effects of ics can contribute to potentially deleterious airway microbiota changes by increasing bacterial load and the abundance of potentially pathogenic taxa such as streptococcus and haemophilus . "
copddisease disease,haemophilus,contribute,Cause-Effect,"next generation sequencing has revealed that copd disease progression and exacerbation frequency are associated with changes in the composition of the lung microbiome , and that the immunosuppressive effects of ics can contribute to potentially deleterious airway microbiota changes by increasing bacterial load and the abundance of potentially pathogenic taxa such as streptococcus and haemophilus . "
copddisease disease,haemophilus,change,Cause-Effect,"next generation sequencing has revealed that copd disease progression and exacerbation frequency are associated with changes in the composition of the lung microbiome , and that the immunosuppressive effects of ics can contribute to potentially deleterious airway microbiota changes by increasing bacterial load and the abundance of potentially pathogenic taxa such as streptococcus and haemophilus . "
cancer,pseudomonasaeruginosa aeruginosa,derive,Cause-Effect,"in this work , we explored in vitro the anticancer potential of three novel peptides derived from the c terminal of azurin , an anticancer bacterial protein produced by pseudomonas aeruginosa . "
cancer,pseudomonasaeruginosa aeruginosa,produce,Product-Producer,"in this work , we explored in vitro the anticancer potential of three novel peptides derived from the c terminal of azurin , an anticancer bacterial protein produced by pseudomonas aeruginosa . "
mycoplasmapneumoniae pneumoniae,pneumoniampp mpp,induce,Cause-Effect,"mycoplasma pneumoniae induced pneumonia mpp is a common cause of community acquired respiratory tract infections , increasing risk of morbidity and mortality , in children . "
mycoplasmapneumoniae pneumoniae,respiratorytract tractinfections infections,induce,Cause-Effect,"mycoplasma pneumoniae induced pneumonia mpp is a common cause of community acquired respiratory tract infections , increasing risk of morbidity and mortality , in children . "
mycoplasmapneumoniae pneumoniae,respiratorytract tractinfections infections,cause,Cause-Effect,"mycoplasma pneumoniae induced pneumonia mpp is a common cause of community acquired respiratory tract infections , increasing risk of morbidity and mortality , in children . "
panuveitis,mycobacteriumbovis bovis,induce,Cause-Effect,"then , we investigated the anti inflammatory action of intravitreal lupeol in a rodent model of panuveitis induced by mycobacterium bovis calmette gu rin bacillus bcg . "
panuveitis,bacillus,induce,Cause-Effect,"then , we investigated the anti inflammatory action of intravitreal lupeol in a rodent model of panuveitis induced by mycobacterium bovis calmette gu rin bacillus bcg . "
staphylococcusaureus aureus,invasiveinfections infections,lead,Cause-Effect,staphylococcus aureus is a leading pathogen responsible for mild to severe invasive infections in humans . 
akkermansia,colon,promote,Cause-Effect,"conclusions our results reveal that bbr is a promising prebiotic for akkermansia , and it promotes akkermansia growth via stimulating mucin secretion in colon . "
lactobacillus,inflammation,relate,0,"meanwhile , we also proved the prominent role of the possible targets of mccj25 , namely genus lactobacillus , bacteroides and akkermansia as well as the possible strains related to the important otus in inflammation status through comprehensive analysis . "
bacteroides,inflammation,relate,0,"meanwhile , we also proved the prominent role of the possible targets of mccj25 , namely genus lactobacillus , bacteroides and akkermansia as well as the possible strains related to the important otus in inflammation status through comprehensive analysis . "
akkermansia,inflammation,relate,0,"meanwhile , we also proved the prominent role of the possible targets of mccj25 , namely genus lactobacillus , bacteroides and akkermansia as well as the possible strains related to the important otus in inflammation status through comprehensive analysis . "
staphylococcusaureus aureus,skinand andfilmsy filmsydiseases diseases,become,Entity-Origin,"methicillin resistant staphylococcus aureus mrsa is becoming lethal to mankind due to easy transmission mode , rapid resistance development to existing antibiotics and affect difficult to treat skin and filmsy diseases . "
periodontitisand andalzheimer's alzheimer'sdisease disease,porphyromonasgingivalis gingivalis,show,Cause-Effect,"in line with the strong association between periodontitis and alzheimer's disease ad clinically , preclinical studies have shown that systemic exposure to porphyromonas gingivalis pg initiates ad pathologies . "
bifidobacteriumbreve breve,colitisand andallergic allergicdiseases diseases,show,Cause-Effect,bifidobacterium breve is commonly used as a probiotic and was shown to improve colitis and allergic diseases by suppressing the inflammatory response . 
bifidobacteriumbreve breve,colitisand andallergic allergicdiseases diseases,improve,Cause-Effect,bifidobacterium breve is commonly used as a probiotic and was shown to improve colitis and allergic diseases by suppressing the inflammatory response . 
tyzzerella,anxiety,correlate,Cause-Effect,"reduction of gut microbial alpha diversity via antibiotics did not prevent chemotherapy associated side effects , however the relative abundances of the genera tyzzerella , romboutsia , and turicibacter correlated with circulating inflammatory il 1 and behavioral outcomes lethargy , anxiety like behavior . "
romboutsia,anxiety,correlate,Cause-Effect,"reduction of gut microbial alpha diversity via antibiotics did not prevent chemotherapy associated side effects , however the relative abundances of the genera tyzzerella , romboutsia , and turicibacter correlated with circulating inflammatory il 1 and behavioral outcomes lethargy , anxiety like behavior . "
turicibacter,anxiety,correlate,Cause-Effect,"reduction of gut microbial alpha diversity via antibiotics did not prevent chemotherapy associated side effects , however the relative abundances of the genera tyzzerella , romboutsia , and turicibacter correlated with circulating inflammatory il 1 and behavioral outcomes lethargy , anxiety like behavior . "
inflammation,ruminococcus,relate,0,"especially , krg suppressed the abundance of the inflammation related phylum verrucomicrobia and genera ruminococcus and akkermansia especially akkermansia muciniphila , and elevated the abundance of eubacterium , which produces the anti inflammatory substances . "
inflammation,akkermansia,relate,0,"especially , krg suppressed the abundance of the inflammation related phylum verrucomicrobia and genera ruminococcus and akkermansia especially akkermansia muciniphila , and elevated the abundance of eubacterium , which produces the anti inflammatory substances . "
inflammation,akkermansiamuciniphila muciniphila,relate,0,"especially , krg suppressed the abundance of the inflammation related phylum verrucomicrobia and genera ruminococcus and akkermansia especially akkermansia muciniphila , and elevated the abundance of eubacterium , which produces the anti inflammatory substances . "
inflammation,eubacterium,relate,0,"especially , krg suppressed the abundance of the inflammation related phylum verrucomicrobia and genera ruminococcus and akkermansia especially akkermansia muciniphila , and elevated the abundance of eubacterium , which produces the anti inflammatory substances . "
pseudomonasaeruginosa aeruginosa,pneumonia,cause,Cause-Effect,background and purpose 255 pseudomonas aeruginosa is a main cause of ventilator associated pneumonia vap with drug resistant bacteria . 
escherichiacoli coli,trnaglu,show,Cause-Effect,"combinatorial co production of a precursor peptide with different modifying enzymes in escherichia coli identifies a different timing of modifications , showing that a trnaglu dependent highly regioselective dehydration is the first modification step , followed by polyazole formation through heterocyclization and dehydrogenation in an n to c terminal direction . "
legionella,bacterialinfection infection,link,0,side family of legionella effectors catalyze non canonical phosphoribosyl linked ubiquitination pr ubiquitination of host proteins during bacterial infection . 
shigellaflexneri flexneri,enhancedbacterial bacterialreplication replicationand andincreased increaseddisease disease,lead,Cause-Effect,"consistent with pyroptosis contributing to murine disease resistance , eliminating gsdmd from nlrc4 deficient mice , which are already sensitized to oral infection with shigella flexneri , leads to further enhanced bacterial replication and increased disease severity . "
klebsiella,braininjury injury,result,Cause-Effect,these results suggest that aberrant development of the gut microbiota immune brain axis may drive or exacerbate brain injury in extremely premature neonates and represents a promising target for novel intervention strategies . 
wolbachia,"arboviral, ,and andagricultural agriculturaldiseases diseases",synthesize,Entity-Origin,"we synthesize literature on wolbachia's host range , phylogenetic diversity , genomics , cell biology , and applications to filarial , arboviral , and agricultural diseases . "
odoribactersplanchnicus splanchnicus,colitis,induce,Cause-Effect,"specifically , odoribacter splanchnicus is abundant in tak1 m m mice and sufficient to induce intestinal th17 cell development and confer resistance against colitis and crc in wild type mice . "
helicobacterfelis felis,chronicspem spem,induce,Cause-Effect,methods drug or helicobacter felis h felis infection induced mouse models were used to identify the expression pattern of aqp5 in acute or chronic spem . 
ahrdeficiency deficiency,helicobacterhepaticus hepaticus,promote,Cause-Effect,"ahr deficiency in iecs altered the intestinal metabolite composition , creating an environment that promoted the overgrowth of helicobacter hepaticus and helicobacter ganmani in the gut , enhancing their translocation to mesenteric lymph nodes and liver . "
ahrdeficiency deficiency,helicobacter,promote,Cause-Effect,"ahr deficiency in iecs altered the intestinal metabolite composition , creating an environment that promoted the overgrowth of helicobacter hepaticus and helicobacter ganmani in the gut , enhancing their translocation to mesenteric lymph nodes and liver . "
ahrdeficiency deficiency,helicobacterhepaticus hepaticus,promote,Cause-Effect,"ahr deficiency in iecs altered the intestinal metabolite composition , creating an environment that promoted the overgrowth of helicobacter hepaticus and helicobacter ganmani in the gut , enhancing their translocation to mesenteric lymph nodes and liver . "
ahrdeficiency deficiency,helicobacter,promote,Cause-Effect,"ahr deficiency in iecs altered the intestinal metabolite composition , creating an environment that promoted the overgrowth of helicobacter hepaticus and helicobacter ganmani in the gut , enhancing their translocation to mesenteric lymph nodes and liver . "
escherichiacoli coli,colitis,synthesize,Entity-Origin,the probiotic escherichia coli nissle 1917 ecn was engineered to synthesize the ketone body r 3 hydroxybutyrate 3hb for sustainable production in the gut lumen of mice suffering from colitis . 
mirnasdeficiencies deficiencies,listeriamonocytogenes monocytogenes,result,Cause-Effect,"accordingly , mir 17 92 family mirnas deficiencies resulted in heightened production of il 12 and thus enhanced the host defense against intracellular pathogen listeria monocytogenes in vivo . "
mirnasdeficiencies deficiencies,listeriamonocytogenes monocytogenes,enhance,Cause-Effect,"accordingly , mir 17 92 family mirnas deficiencies resulted in heightened production of il 12 and thus enhanced the host defense against intracellular pathogen listeria monocytogenes in vivo . "
pseudomonasaeruginosa aeruginosa,"cysticfibrosis fibrosiscf cf, ,",contribute,Cause-Effect,"background while pseudomonas aeruginosa pa eradication regimens have contributed to a decline in pa prevalence in people with cystic fibrosis cf , this antibiotic exposure might increase the risk of acquisition of drug resistant organisms . "
mycobacteriumtuberculosis tuberculosis,latentinfection infection,show,Cause-Effect,mycobacterium tuberculosis mtb specific host immune activation and cytokine production have shown significant promise as alternative means of detecting and distinguishing active disease from latent infection . 
streptococcuspneumoniae pneumoniae,meningitis,cause,Cause-Effect,"at the end of the observed period , streptococcus pneumoniae caused the majority of meningitis cases 829 1616 51 , mostly in older adults aged 45 64 years and elderly adults aged 65 years incidence of 1 . "
lymphogranulomavenereum venereumlgv lgv,chlamydiatrachomatis trachomatis,cause,Cause-Effect,"background lymphogranuloma venereum lgv is a sexually transmitted infection caused by chlamydia trachomatis ct serovars l1 , l2 , and l3 and is endemic among men who have sex with men msm in europe . "
sexuallytransmitted transmittedinfection infection,chlamydiatrachomatis trachomatis,cause,Cause-Effect,"background lymphogranuloma venereum lgv is a sexually transmitted infection caused by chlamydia trachomatis ct serovars l1 , l2 , and l3 and is endemic among men who have sex with men msm in europe . "
enterococcus,routinehospital hospitalinfection infection,need,Component-Whole,"conclusion covid 19 surges adversely impact hai rates and clusters of infections within hospitals , emphasizing the need for balancing covid related demands with routine hospital infection prevention . "
enterococcus,routinehospital hospitalinfection infection,relate,0,"conclusion covid 19 surges adversely impact hai rates and clusters of infections within hospitals , emphasizing the need for balancing covid related demands with routine hospital infection prevention . "
pneumonia,bordetellapertussis pertussis,induce,Cause-Effect,nasopharyngeal specimens and induced sputum were tested by polymerase chain reaction pcr for bordetella pertussis . 
campylobacter,diarrhea,lead,Cause-Effect,"rotavirus , campylobacter , and shigella were the leading causes of diarrhea in year 1 while shigella , campylobacter , and heat stable toxin producing enterotoxigenic escherichia coli were the leading causes in year 2 . "
campylobacter,diarrhea,cause,Cause-Effect,"rotavirus , campylobacter , and shigella were the leading causes of diarrhea in year 1 while shigella , campylobacter , and heat stable toxin producing enterotoxigenic escherichia coli were the leading causes in year 2 . "
shigella,diarrhea,lead,Cause-Effect,"rotavirus , campylobacter , and shigella were the leading causes of diarrhea in year 1 while shigella , campylobacter , and heat stable toxin producing enterotoxigenic escherichia coli were the leading causes in year 2 . "
shigella,diarrhea,cause,Cause-Effect,"rotavirus , campylobacter , and shigella were the leading causes of diarrhea in year 1 while shigella , campylobacter , and heat stable toxin producing enterotoxigenic escherichia coli were the leading causes in year 2 . "
diarrhea,escherichiacoli coli,produce,Product-Producer,"rotavirus , campylobacter , and shigella were the leading causes of diarrhea in year 1 while shigella , campylobacter , and heat stable toxin producing enterotoxigenic escherichia coli were the leading causes in year 2 . "
invasivemeningococcal meningococcaldisease disease,neisseriameningitidis meningitidis,cause,Cause-Effect,"background invasive meningococcal disease imd , caused by neisseria meningitidis , leads to significant morbidity and mortality worldwide . "
shigella,diarrhea,lead,Cause-Effect,background shigella is a leading cause of childhood diarrhea and target for vaccine development . 
shigella,diarrhea,cause,Cause-Effect,background shigella is a leading cause of childhood diarrhea and target for vaccine development . 
pneumonicplague plaguepp pp,yersiniapestis pestis,cause,Cause-Effect,"background pneumonic plague pp , caused by yersinia pestis , is the most feared clinical form of plague due to its rapid lethality and potential to cause outbreaks . "
streptococcus,acuterespiratory respiratoryconditions conditions,lead,Cause-Effect,background group a streptococcus gas is a leading cause of acute respiratory conditions that frequently result in antibiotic prescribing . 
streptococcus,acuterespiratory respiratoryconditions conditions,cause,Cause-Effect,background group a streptococcus gas is a leading cause of acute respiratory conditions that frequently result in antibiotic prescribing . 
urinarytract tractinfection infectionuuti uuti,escherichiacoli coli,cause,Cause-Effect,"background uncomplicated urinary tract infection uuti is predominantly caused by escherichia coli , which has increasing antimicrobial resistance amr at the us community level . "
intraabdominal abdominaland andbloodstream bloodstreaminfections infectionscaued caued,enterobactercloacae cloacae,produce,Product-Producer,we report a case of resistance development towards cefiderocol in a patient with intra abdominal and bloodstream infections caued by carbapenemase producing enterobacter cloacae within 21 days of cefiderocol therapy . 
streptococcus,sepsisand andmeningitis meningitis,lead,Cause-Effect,background and objectives group b streptococcus gbs is the leading cause of sepsis and meningitis in infants 90 days . 
streptococcus,sepsisand andmeningitis meningitis,cause,Cause-Effect,background and objectives group b streptococcus gbs is the leading cause of sepsis and meningitis in infants 90 days . 
acinetobacterbaumannii baumannii,obesity,produce,Product-Producer,"ten critically ill patients with either bacteremia or ventilator associated pneumonia caused by carbapenem resistant acinetobacter baumannii , stenotrophomonas maltophilia , or new delhi metallo lactamase producing klebsiella pneumoniae received cefiderocol . "
stenotrophomonasmaltophilia maltophilia,obesity,produce,Product-Producer,"ten critically ill patients with either bacteremia or ventilator associated pneumonia caused by carbapenem resistant acinetobacter baumannii , stenotrophomonas maltophilia , or new delhi metallo lactamase producing klebsiella pneumoniae received cefiderocol . "
pneumonia,acinetobacterbaumannii baumannii,cause,Cause-Effect,"ten critically ill patients with either bacteremia or ventilator associated pneumonia caused by carbapenem resistant acinetobacter baumannii , stenotrophomonas maltophilia , or new delhi metallo lactamase producing klebsiella pneumoniae received cefiderocol . "
pneumonia,stenotrophomonasmaltophilia maltophilia,cause,Cause-Effect,"ten critically ill patients with either bacteremia or ventilator associated pneumonia caused by carbapenem resistant acinetobacter baumannii , stenotrophomonas maltophilia , or new delhi metallo lactamase producing klebsiella pneumoniae received cefiderocol . "
